,SDS_CODE,SDS_KT,SDS_NR,SDS_NAME,BFS_CODE,COORD_X,COORD_Y,LAT,LONG,POPS2018,1022_sechs,1045_Donnstig,1054_1055_Rucken,1074_Kase,1095_Schnee,1105_Eis,1107_Mause,1160_Apfel,2027_Besen,2097_trinken,2147_folgen,3008_gelaufen,3056_gehen_1sg,4071_Schluckauf
423,TG16,TG,16,Balterswil,4721,713100,256900,47.45316,8.93843,2864,c_è_neutr,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_glaufe,c_gange / c_goo,c_higg
424,TG17,TG,17,Stettfurt,4606,713900,265600,47.53125,8.95126,1204,c_è_neutr,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_goo,c_higg
425,TG18,TG,18,Wangi,4781,715400,262800,47.50581,8.97045,4720,c_è_neutr,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_glaufe,c_gange / c_goo,c_higg
426,TG19,TG,19,Fischingen,4726,715500,252600,47.41407,8.96914,2792,c_è_neutr,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_glaufe,c_goo,c_higg
427,TG20,TG,20,Lustdorf,4611,716600,267800,47.55056,8.98769,1437,c_è_neutr,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_goo,c_higg
428,TG21,TG,21,Marwil,4711,723400,266600,47.53853,9.07767,2552,c_è_neutr,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_ngg / c_nk,c_l,c_gloffe,c_gang,c_higg
429,TG22,TG,22,Braunau,4723,723100,262600,47.50262,9.07258,778,c_è_neutr,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_ngg,c_l,c_glaufe,c_gange,c_higg
430,TG23,TG,23,Sulgen,4506,731500,266800,47.53876,9.18528,3869,c_è_neutr,c_o,c_u,c_ä_übof,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_ngg,c_l,c_gloffe,c_gang,c_higg
431,TG24,TG,24,Sitterdorf,4511,736400,263200,47.50539,9.24924,2385,c_è_neutr,c_o,c_u,c_ä_übof,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_ngg,c_l,c_glaufe / c_gloffe,c_goo,c_higg
432,TG25,TG,25,Amriswil,4461,740000,267700,47.54509,9.29842,13538,c_e_geschl,c_o,c_u,c_ä_übof,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_ngg,c_l,c_glaufe,c_gang / c_goo,c_higg
433,TG26,TG,26,Roggwil,4431,747700,264600,47.51554,9.39964,3068,c_è_neutr,c_o,c_u,c_ä_übof,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_ngg,c_l,c_glaufe / c_gloffe,c_goo,c_higg
434,TI1,TI,1,Bosco_Gurin,5304,681100,130000,46.3165,8.49157,46,c_ä_übof,c_u,c_i,c_ä_übof,c_e_geschl / c_ea,c_ii,c_üü,NA,c_kurz,c_Lch,c_l,c_gluffe,c_gaa,
435,UR1,UR,1,Seelisberg,1215,687400,202700,46.96962,8.58717,661,c_ä_übof,c_o,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_kurz / c_lang,c_nk,c_l,c_gluffe / c_glüffe,c_gaa,c_higg
436,UR2,UR,2,Isenthal,1211,685500,196100,46.9105,8.56096,483,c_ä_übof,c_o,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_e,c_lang,c_nk,c_l,c_gluffe,c_gaa,c_higg
437,UR3,UR,3,Sisikon,1217,690100,200500,46.94947,8.62221,369,c_ä_übof,c_u,c_i,c_ä_übof,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gluffe,c_gaa,c_higg
